,timestamp,open_ETH_ftx_1H,high_ETH_ftx_1H,low_ETH_ftx_1H,close_ETH_ftx_1H,volume_ETH_ftx_1H,price
3790,2021-05-03 05:00:00,3054.1,3108.1,3050.8,3102.0,98352.3217,3102.0
3791,2021-05-03 06:00:00,3102.0,3104.9,3083.8,3089.4,68277.4931,3089.4
3792,2021-05-03 07:00:00,3089.4,3148.7,3084.1,3146.5,61169.1268,3146.5
3793,2021-05-03 08:00:00,3146.5,3202.4,3134.9,3186.4,36173.7485,3186.4
3794,2021-05-03 09:00:00,3186.8,3190.2,3146.1,3166.7,68772.4347,3166.7
3795,2021-05-03 10:00:00,3166.7,3168.9,3129.2,3151.6,486965.6063,3151.6
3796,2021-05-03 11:00:00,3151.6,3178.5,3151.2,3154.4,67779.9783,3154.4
3797,2021-05-03 12:00:00,3154.4,3163.2,3115.6,3144.8,52210.8967,3144.8
3798,2021-05-03 13:00:00,3144.8,3150.4,3088.5,3110.0,186480.791,3110.0
3799,2021-05-03 14:00:00,3110.0,3179.8,3107.6,3166.1,127840.8992,3166.1
3800,2021-05-03 15:00:00,3166.1,3195.2,3153.4,3168.1,1086096.2103,3168.1
3801,2021-05-03 16:00:00,3168.1,3272.1,3153.5,3258.4,444405.0521,3258.4
3802,2021-05-03 17:00:00,3258.4,3298.4,3243.5,3287.9,809784.2792,3287.9
3803,2021-05-03 18:00:00,3287.9,3340.1,3278.1,3333.2,642393.9518,3333.2
3804,2021-05-03 19:00:00,3333.2,3333.2,3260.7,3302.8,284069.8807,3302.8
3805,2021-05-03 20:00:00,3302.8,3305.7,3254.2,3287.7,459322.0102,3287.7
3806,2021-05-03 21:00:00,3287.7,3332.1,3271.7,3331.5,114210.6188,3331.5
3807,2021-05-03 22:00:00,3331.5,3400.5,3331.5,3383.3,2303884.9787,3383.3
3808,2021-05-03 23:00:00,3383.3,3456.0,3373.7,3428.4,400809.1358,3428.4
3809,2021-05-04 00:00:00,3428.4,3454.0,3220.8,3266.0,2494357.8548,3266.0
3810,2021-05-04 01:00:00,3266.0,3326.8,3256.3,3285.1,1516949.8741,3285.1
3811,2021-05-04 02:00:00,3285.1,3304.8,3220.9,3229.9,377847.483,3229.9
3812,2021-05-04 03:00:00,3228.8,3265.9,3185.2,3233.3,255979.9406,3233.3
3813,2021-05-04 04:00:00,3233.3,3352.7,3221.6,3350.8,165006.246,3350.8
3814,2021-05-04 05:00:00,3350.8,3393.4,3339.2,3384.1,144248.3389,3384.1
3815,2021-05-04 06:00:00,3384.1,3406.7,3344.3,3353.4,30293.826,3353.4
3816,2021-05-04 07:00:00,3353.4,3381.9,3312.9,3316.5,259.7253,3316.5
3817,2021-05-04 08:00:00,3316.5,3341.9,3279.9,3302.2,9026.757,3302.2
3818,2021-05-04 09:00:00,3302.8,3371.7,3302.8,3338.8,123656.2343,3338.8
3819,2021-05-04 10:00:00,3338.8,3437.8,3338.0,3436.2,32571.1702,3436.2
3820,2021-05-04 11:00:00,3436.2,3487.3,3387.7,3484.5,59324.9062,3484.5
3821,2021-05-04 12:00:00,3484.5,3494.7,3419.1,3485.5,520341.9241,3485.5
3822,2021-05-04 13:00:00,3485.5,3529.8,3453.7,3479.9,685467.0797,3479.9
3823,2021-05-04 14:00:00,3479.9,3492.3,3354.0,3372.6,250806.5422,3372.6
3824,2021-05-04 15:00:00,3372.6,3398.6,3229.2,3230.0,2179317.5073,3230.0
3825,2021-05-04 16:00:00,3230.0,3288.6,3167.1,3266.4,2124643.1089,3266.4
3826,2021-05-04 17:00:00,3266.4,3336.4,3257.7,3336.4,380407.0639,3336.4
3827,2021-05-04 18:00:00,3336.4,3400.2,3315.3,3385.2,149987.8723,3385.2
3828,2021-05-04 19:00:00,3385.2,3414.4,3354.6,3414.4,1640993.6548,3414.4
3829,2021-05-04 20:00:00,3414.4,3430.3,3345.1,3406.6,334587.2046,3406.6
3830,2021-05-04 21:00:00,3406.6,3412.4,3333.5,3335.0,150692.0352,3335.0
3831,2021-05-04 22:00:00,3335.0,3350.1,3249.6,3311.9,1063043.887,3311.9
3832,2021-05-04 23:00:00,3311.9,3325.1,3216.6,3239.5,688615.6452,3239.5
3833,2021-05-05 00:00:00,3239.5,3334.4,3210.0,3311.4,397814.2873,3311.4
3834,2021-05-05 01:00:00,3311.4,3379.9,3311.4,3369.2,362527.5838,3369.2
